snapshot_date,index_code,symbol,weight,source
2010-01-04,000300,600812,0.17,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600816,0.11,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600820,0.13,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600832,0.32,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600835,0.1,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600837,1.35,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600839,0.18,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600859,0.15,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600874,0.04,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600875,0.27,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600879,0.13,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600881,0.3,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600886,0.1,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600895,0.17,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600900,1.03,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600970,0.11,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600997,0.27,chenditc/investment_data:ts_index_weight
2010-01-04,000300,601001,0.27,chenditc/investment_data:ts_index_weight
2010-01-04,000300,601006,0.7,chenditc/investment_data:ts_index_weight
2010-01-04,000300,601009,0.43,chenditc/investment_data:ts_index_weight
2010-01-04,000300,601088,2.0,chenditc/investment_data:ts_index_weight
2010-01-04,000300,601099,0.09,chenditc/investment_data:ts_index_weight
2010-01-04,000300,601107,0.06,chenditc/investment_data:ts_index_weight
2010-01-04,000300,601111,0.26,chenditc/investment_data:ts_index_weight
2010-01-04,000300,601166,2.41,chenditc/investment_data:ts_index_weight
2010-01-04,000300,601168,0.43,chenditc/investment_data:ts_index_weight
2010-01-04,000300,601169,1.45,chenditc/investment_data:ts_index_weight
2010-01-04,000300,601186,0.49,chenditc/investment_data:ts_index_weight
2010-01-04,000300,601318,2.74,chenditc/investment_data:ts_index_weight
2010-01-04,000300,601328,2.94,chenditc/investment_data:ts_index_weight
2010-01-04,000300,601333,0.24,chenditc/investment_data:ts_index_weight
2010-01-04,000300,601390,0.57,chenditc/investment_data:ts_index_weight
2010-01-04,000300,601398,1.39,chenditc/investment_data:ts_index_weight
2010-01-04,000300,601588,0.16,chenditc/investment_data:ts_index_weight
2010-01-04,000300,601600,0.49,chenditc/investment_data:ts_index_weight
2010-01-04,000300,601601,1.41,chenditc/investment_data:ts_index_weight
2010-01-04,000300,601618,0.31,chenditc/investment_data:ts_index_weight
2010-01-04,000300,601628,0.82,chenditc/investment_data:ts_index_weight
2010-01-04,000300,601666,0.39,chenditc/investment_data:ts_index_weight
2010-01-04,000300,601668,0.5,chenditc/investment_data:ts_index_weight
2010-01-04,000300,601699,0.42,chenditc/investment_data:ts_index_weight
2010-01-04,000300,601727,0.1,chenditc/investment_data:ts_index_weight
2010-01-04,000300,601766,0.39,chenditc/investment_data:ts_index_weight
2010-01-04,000300,601808,0.17,chenditc/investment_data:ts_index_weight
2010-01-04,000300,601857,0.91,chenditc/investment_data:ts_index_weight
2010-01-04,000300,601866,0.19,chenditc/investment_data:ts_index_weight
2010-01-04,000300,601872,0.14,chenditc/investment_data:ts_index_weight
2010-01-04,000300,601898,0.44,chenditc/investment_data:ts_index_weight
2010-01-04,000300,601899,0.9,chenditc/investment_data:ts_index_weight
2010-01-04,000300,601918,0.12,chenditc/investment_data:ts_index_weight
2010-01-04,000300,601919,0.56,chenditc/investment_data:ts_index_weight
2010-01-04,000300,601939,0.97,chenditc/investment_data:ts_index_weight
2010-01-04,000300,601958,0.32,chenditc/investment_data:ts_index_weight
2010-01-04,000300,601988,0.49,chenditc/investment_data:ts_index_weight
2010-01-04,000300,601991,0.11,chenditc/investment_data:ts_index_weight
2010-01-04,000300,601998,0.33,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000001,1.29,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000002,1.54,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000009,0.21,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000012,0.17,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000021,0.17,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000024,0.24,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000027,0.15,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000031,0.15,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000039,0.23,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000046,0.09,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000059,0.11,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000060,0.34,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000061,0.2,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000063,0.75,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000069,0.41,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000089,0.08,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000100,0.21,chenditc/investment_data:ts_index_weight
2010-07-01,000300,000157,0.3,chenditc/investment_data:ts_index_weight
