experiment_id,score,slice,rows,dates,rank_ic_mean,rank_ic_median,rank_ic_std,icir,positive_ic_ratio,pearson_ic_mean,rank_ic_t_stat
B2_SECTOR_NEUTRAL_RANK,b2_sector_neutral_rank,large_cap,120034,1434,0.03944436228211789,0.062330623306233054,0.26051113189593855,0.15141142720102257,0.5829846582984658,0.006536371817930007,5.733677065516551
B2_SECTOR_NEUTRAL_RANK,b2_sector_neutral_rank,low_volatility,118636,1434,0.03196771840548186,0.03351380098315801,0.16586024095265334,0.19273888800515734,0.5829846582984658,0.01956393246232603,7.298673305028264
B3_BETA_RESIDUAL_RANK,b3_beta_residual_rank,risk_off,82185,333,0.014672874850939177,0.024270200440960978,0.23978666785633457,0.06119137057165439,0.5435435435435435,-0.006879085851169322,1.1166377282725575
B3_BETA_RESIDUAL_RANK,b3_beta_residual_rank,technology,70747,1434,0.036642312820446415,0.051004275227877705,0.24394299686823442,0.15020850481819212,0.5822873082287309,0.02292816989518792,5.688124569212066
B3_BETA_RESIDUAL_RANK,b3_beta_residual_rank,large_cap,120034,1434,0.03942421109184809,0.06603085712016031,0.2966401458152206,0.13290248015319456,0.5655509065550907,0.0036139144085028346,5.032776696523299
B3_BETA_RESIDUAL_RANK,b3_beta_residual_rank,low_volatility,118636,1434,0.04817250319250259,0.04976086984510917,0.18567656216052708,0.25944310166005197,0.6101813110181311,0.0324308223189673,9.824641305439545
B4_VOL_ADJUSTED_RANK,b4_vol_adjusted_rank,risk_off,82185,333,0.02546675637530117,0.04025374849019018,0.138808303375328,0.1834670963914949,0.6126126126126126,0.013408792424676593,3.3479603384183902
B4_VOL_ADJUSTED_RANK,b4_vol_adjusted_rank,technology,70747,1434,0.03756672342635171,0.04862696263305721,0.19815383108431017,0.18958363419361737,0.6032078103207811,0.033584851935410755,7.1791895464405355
B4_VOL_ADJUSTED_RANK,b4_vol_adjusted_rank,large_cap,120034,1434,0.03781367810714079,0.0392263989160814,0.20242744894868867,0.18680113938859058,0.5808926080892608,0.017281116763044828,7.073821497651723
B4_VOL_ADJUSTED_RANK,b4_vol_adjusted_rank,low_volatility,118636,1434,0.031125170979408864,0.037030429110946304,0.1692135256269123,0.18394020728599847,0.5885634588563459,0.026374598590649324,6.96548317018286
B5_ROBUST_WINSORIZED,b5_robust_winsorized,risk_off,82185,333,0.004429530158152395,0.005870046763475265,0.10552078149372283,0.04197779902166377,0.5195195195195195,0.0038199256014675633,0.7660229489800969
B5_ROBUST_WINSORIZED,b5_robust_winsorized,technology,70747,1434,0.003853935705375407,0.01178218174055362,0.17855755002879617,0.021583717433140626,0.5299860529986054,0.005792395086623254,0.817336365706963
B5_ROBUST_WINSORIZED,b5_robust_winsorized,large_cap,120034,1434,0.01990460180099879,0.011400336319954544,0.17373188685178467,0.11457080310179292,0.5251046025104602,0.012554150296951049,4.338589221871664
B5_ROBUST_WINSORIZED,b5_robust_winsorized,low_volatility,118636,1434,0.010963652958532558,0.006081629341123012,0.14896033262975625,0.07360115787189417,0.5146443514644351,0.014897839101834284,2.7871428113894203
C1_DEV_SELECTED_SIGNAL_LABEL_RIDGE,c1_dev_selected_signal_label_ridge,risk_off,82185,333,0.020164928762122437,0.022918800673622803,0.22136174002161055,0.09109491441544426,0.5525525525525525,-0.00151105219329151,1.6623261963209626
C1_DEV_SELECTED_SIGNAL_LABEL_RIDGE,c1_dev_selected_signal_label_ridge,technology,70747,1434,0.03639206864159409,0.04232455586521863,0.2460809197880797,0.14788659223532755,0.5676429567642957,0.020830100703772152,5.600197936654606
C1_DEV_SELECTED_SIGNAL_LABEL_RIDGE,c1_dev_selected_signal_label_ridge,large_cap,120034,1434,0.0403921561565271,0.05702348690153568,0.2889935013668585,0.13976838913499265,0.5669456066945606,0.004644526730010933,5.292776259241864
C1_DEV_SELECTED_SIGNAL_LABEL_RIDGE,c1_dev_selected_signal_label_ridge,low_volatility,118636,1434,0.046724725304283066,0.045617217248121844,0.17849362774520883,0.26177251196317436,0.6255230125523012,0.031897818591223114,9.912851863110722
C2_DEV_SELECTED_SIGNAL_LABEL_LGBM,c2_dev_selected_signal_label_lgbm,risk_off,82185,333,0.027964865076858497,0.023226625379947862,0.18575412851179876,0.15054774448839353,0.5555555555555556,0.007703529782954622,2.7472385375847312
C2_DEV_SELECTED_SIGNAL_LABEL_LGBM,c2_dev_selected_signal_label_lgbm,technology,70747,1434,0.015782367213042627,0.020170859041290935,0.22594032098404668,0.06985192879387384,0.5306834030683403,0.002011103777497001,2.645166283095605
C2_DEV_SELECTED_SIGNAL_LABEL_LGBM,c2_dev_selected_signal_label_lgbm,large_cap,120034,1434,0.03847731850347974,0.05864741252171994,0.26584084774941813,0.14473817259170232,0.5808926080892608,-0.003959459857341994,5.48097297565276
C2_DEV_SELECTED_SIGNAL_LABEL_LGBM,c2_dev_selected_signal_label_lgbm,low_volatility,118636,1434,0.04656127918993425,0.05376637068874568,0.18793553008914632,0.24775133881202843,0.6080892608089261,0.023304544494648128,9.381895379742874
