score,policy,top_k,cost_bps,gross_total_return,net_total_return,net_research_proxy_alpha,average_one_way_turnover
r1_stable_core_ridge_harness,r1_stable_core_ridge_harness_buffer20_30,20,20,0.3791990913081569,0.21980840923220257,-0.057323638396269194,0.4271034441481668
r1_stable_core_ridge_harness,r1_stable_core_ridge_harness_buffer20_30,20,30,0.3791990913081569,0.14705330545190054,-0.13007874217657123,0.4271034441481668
r1_stable_core_ridge_harness,r1_stable_core_ridge_harness_buffer20_30,20,50,0.3791990913081569,0.014113429248599152,-0.2630186183798726,0.4271034441481668
c1_dev_selected_signal_label_ridge,c1_dev_selected_signal_label_ridge_sector_top10,10,0,0.3742032090974272,0.3742032090974272,0.09707116146895545,0.6838399310557179
c1_dev_selected_signal_label_ridge,c1_dev_selected_signal_label_ridge_sector_top10,10,10,0.3742032090974272,0.2454563876965028,-0.03167565993196897,0.6838399310557179
c1_dev_selected_signal_label_ridge,c1_dev_selected_signal_label_ridge_sector_top10,10,20,0.3742032090974272,0.12860874135318778,-0.14852330627528398,0.6838399310557179
c1_dev_selected_signal_label_ridge,c1_dev_selected_signal_label_ridge_sector_top10,10,30,0.3742032090974272,0.022575585228439055,-0.2545564624000327,0.6838399310557179
c1_dev_selected_signal_label_ridge,c1_dev_selected_signal_label_ridge_sector_top10,10,50,0.3742032090974272,-0.16090713477358698,-0.43803918240205875,0.6838399310557179
c1_dev_selected_signal_label_ridge,c1_dev_selected_signal_label_ridge_sector_top20,20,0,0.4571708750097201,0.4571708750097201,0.18003882738124832,0.5860219273319538
c1_dev_selected_signal_label_ridge,c1_dev_selected_signal_label_ridge_sector_top20,20,10,0.4571708750097201,0.33958405895091737,0.0624520113224456,0.5860219273319538
c1_dev_selected_signal_label_ridge,c1_dev_selected_signal_label_ridge_sector_top20,20,20,0.4571708750097201,0.23135581075454903,-0.04577623687392274,0.5860219273319538
c1_dev_selected_signal_label_ridge,c1_dev_selected_signal_label_ridge_sector_top20,20,30,0.4571708750097201,0.13175165808131895,-0.14538038954715282,0.5860219273319538
c1_dev_selected_signal_label_ridge,c1_dev_selected_signal_label_ridge_sector_top20,20,50,0.4571708750097201,-0.04424244109086872,-0.3213744887193405,0.5860219273319538
c1_dev_selected_signal_label_ridge,c1_dev_selected_signal_label_ridge_sector_top30,30,0,0.4586379057117098,0.4586379057117098,0.18150585808323805,0.5326565613545571
c1_dev_selected_signal_label_ridge,c1_dev_selected_signal_label_ridge_sector_top30,30,10,0.4586379057117098,0.35128745053736443,0.07415540290889266,0.5326565613545571
c1_dev_selected_signal_label_ridge,c1_dev_selected_signal_label_ridge_sector_top30,30,20,0.4586379057117098,0.25172925383163025,-0.025402793796841516,0.5326565613545571
c1_dev_selected_signal_label_ridge,c1_dev_selected_signal_label_ridge_sector_top30,30,30,0.4586379057117098,0.15940556546684337,-0.1177264821616284,0.5326565613545571
c1_dev_selected_signal_label_ridge,c1_dev_selected_signal_label_ridge_sector_top30,30,50,0.4586379057117098,-0.00557522939498778,-0.28270727702345955,0.5326565613545571
c1_dev_selected_signal_label_ridge,c1_dev_selected_signal_label_ridge_sector_top50,50,0,0.5196636874870717,0.5196636874870717,0.24253163985859993,0.44151694837647587
c1_dev_selected_signal_label_ridge,c1_dev_selected_signal_label_ridge_sector_top50,50,10,0.5196636874870717,0.42659783678199514,0.14946578915352338,0.44151694837647587
c1_dev_selected_signal_label_ridge,c1_dev_selected_signal_label_ridge_sector_top50,50,20,0.5196636874870717,0.3391514998103491,0.06201945218187732,0.44151694837647587
c1_dev_selected_signal_label_ridge,c1_dev_selected_signal_label_ridge_sector_top50,50,30,0.5196636874870717,0.25699018381407224,-0.02014186381439953,0.44151694837647587
c1_dev_selected_signal_label_ridge,c1_dev_selected_signal_label_ridge_sector_top50,50,50,0.5196636874870717,0.1072816244725221,-0.16985042315594967,0.44151694837647587
c1_dev_selected_signal_label_ridge,c1_dev_selected_signal_label_ridge_buffer20_30,20,0,0.5607011196838485,0.5607011196838485,0.28356907205537674,0.437660645324654
c1_dev_selected_signal_label_ridge,c1_dev_selected_signal_label_ridge_buffer20_30,20,10,0.5607011196838485,0.4657879403566525,0.18865589272818073,0.437660645324654
c1_dev_selected_signal_label_ridge,c1_dev_selected_signal_label_ridge_buffer20_30,20,20,0.5607011196838485,0.376559985429779,0.09942793780130721,0.437660645324654
c1_dev_selected_signal_label_ridge,c1_dev_selected_signal_label_ridge_buffer20_30,20,30,0.5607011196838485,0.2926819054313281,0.015549857802856337,0.437660645324654
c1_dev_selected_signal_label_ridge,c1_dev_selected_signal_label_ridge_buffer20_30,20,50,0.5607011196838485,0.13973023647962202,-0.13740181114884975,0.437660645324654
b3_beta_residual_rank,b3_beta_residual_rank_sector_top10,10,0,0.26217655418671737,0.26217655418671737,-0.014955493441754397,0.6236330456433392
b3_beta_residual_rank,b3_beta_residual_rank_sector_top10,10,10,0.26217655418671737,0.15379254957490684,-0.12333949805356492,0.6236330456433392
b3_beta_residual_rank,b3_beta_residual_rank_sector_top10,10,20,0.26217655418671737,0.05458651835513528,-0.22254552927333648,0.6236330456433392
b3_beta_residual_rank,b3_beta_residual_rank_sector_top10,10,30,0.26217655418671737,-0.036207796717327545,-0.3133398443457993,0.6236330456433392
b3_beta_residual_rank,b3_beta_residual_rank_sector_top10,10,50,0.26217655418671737,-0.19531612054163594,-0.4724481681701077,0.6236330456433392
b3_beta_residual_rank,b3_beta_residual_rank_sector_top20,20,0,0.46738360351960284,0.46738360351960284,0.19025155589113107,0.532021334965635
b3_beta_residual_rank,b3_beta_residual_rank_sector_top20,20,10,0.46738360351960284,0.35951378373740783,0.08238173610893607,0.532021334965635
b3_beta_residual_rank,b3_beta_residual_rank_sector_top20,20,20,0.46738360351960284,0.2594614448606931,-0.017670602767778654,0.532021334965635
b3_beta_residual_rank,b3_beta_residual_rank_sector_top20,20,30,0.46738360351960284,0.16666817135461875,-0.11046387627385301,0.532021334965635
b3_beta_residual_rank,b3_beta_residual_rank_sector_top20,20,50,0.46738360351960284,0.0008189729185976713,-0.2763130747098741,0.532021334965635
