model,horizon,portfolio_policy,top_k,weighting,buffer_exit_rank,sector_balanced,periods,gross_total_return,net_total_return,transaction_cost_rate_sum,transaction_cost_sum,compounded_total_return_drag,research_proxy_return,gross_research_proxy_alpha,net_research_proxy_alpha,net_cagr,sharpe,sortino,max_drawdown,average_one_way_turnover,annualized_turnover,average_transaction_cost_rate,mean_maximum_sector_weight,p95_maximum_sector_weight,worst_maximum_sector_weight,average_size_rank,average_liquidity_rank,mean_top_minus_bottom_spread,blocked_sell_orders,terminal_unliquidated_positions,exit_tradability_status,pnl_classification
lightgbm_regression,5,sector_balanced_top20,20,equal,,True,287,0.5650864341488688,0.15356375009633583,0.3047590579813432,0.3047590579813432,0.411522684052533,0.284204252196415,0.28088218195245385,-0.13064050210007916,0.025404243265631843,0.2210040436129081,0.38987906265009437,-0.2729970642656523,0.5055304350702636,25.478733927541285,0.0010618782508060739,0.34997594078277705,0.40552620209960255,0.41426385642607305,0.3486106391020749,0.13734902888544537,0.00173008739544963,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
v6,20,equal_top10,10,equal,,False,72,-0.2308124159043604,-0.3143883695611066,0.11509131065827335,0.11509131065827335,0.0835759536567462,0.27713204762847177,-0.5079444635328322,-0.5915204171895784,-0.06391845997984513,-0.20368620187813022,-0.3513310297906315,-0.57942220391099,0.7609977700437089,9.588571902550733,0.0015984904258093521,0.43110172315907164,0.6437233058335224,0.8011950999836059,0.32800655355405023,0.21799261289607744,-0.00455645209688072,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
v6,20,equal_top20,20,equal,,False,72,-0.024333742311403173,-0.11912409675308433,0.1019535662264151,0.1019535662264151,0.09479035444168116,0.27713204762847177,-0.30146578993987494,-0.3962561443815561,-0.02195220631145467,-0.004932081474091063,-0.008678448762264987,-0.524239275497042,0.6741296483786937,8.49403356957154,0.0014160217531446542,0.3945743523601249,0.5959937601188603,0.6747340608424943,0.33329193423117787,0.23263279692613484,-0.004378311858671495,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
v6,20,equal_top30,30,equal,,False,72,0.0429045588210184,-0.0495032894055204,0.09247971009044084,0.09247971009044084,0.0924078482265388,0.27713204762847177,-0.23422748880745337,-0.32663533703399217,-0.008845497456880236,0.0566386148726753,0.10697561039037735,-0.5101301860655255,0.6114875341462844,7.704742930243183,0.0012844404179227894,0.3811224454590725,0.5737665312730112,0.6139064012406233,0.33478109511037313,0.24041706489177372,-0.004179655488831698,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
v6,20,rank_weight_top20,20,rank,,False,72,-0.09924854660604732,-0.19347285390123803,0.11034839923421814,0.11034839923421814,0.09422430729519071,0.27713204762847177,-0.3763805942345191,-0.4706049015297098,-0.03692896102339038,-0.07411860829631227,-0.13101778669210065,-0.5413858192415093,0.7296371503598519,9.193428094534134,0.0015326166560308075,0.406639171144013,0.6247830441206756,0.6901804511001288,0.33329193423117787,0.23263279692613484,-0.004378311858671495,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
v6,20,rank_decay_top20,20,rank_decay,,False,72,-0.10804260817974176,-0.20557152363565623,0.11571815335740174,0.11571815335740174,0.09752891545591447,0.27713204762847177,-0.38517465580821353,-0.482703571264128,-0.03947297049303722,-0.07784916609644844,-0.14183230105379863,-0.535569178690098,0.7651425186445925,9.640795734921864,0.0016071965744083574,0.42096160116557646,0.6731910928514158,0.7169516496688854,0.33329193423117787,0.23263279692613484,-0.004378311858671495,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
v6,20,buffer_top20_exit30,20,equal,30.0,False,72,-0.13235416464383387,-0.20248076639927404,0.08385816974739252,0.08385816974739252,0.07012660175544017,0.27713204762847177,-0.40948621227230564,-0.4796128140277458,-0.03882004768185243,-0.09133277486339905,-0.16614752166415392,-0.5422144726516949,0.5544810198740454,6.986460850412972,0.0011646968020471184,0.3929370976998916,0.5988358811636829,0.6885218541323008,0.33422115638741345,0.23085944573953907,-0.006044871979154419,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
v6,20,sector_balanced_top20,20,equal,,True,72,0.10664235125701182,-0.0016182119783455517,0.1027446751156835,0.1027446751156835,0.10826056323535738,0.27713204762847177,-0.17048969637145994,-0.2787502596068173,-0.0002833763134175715,0.10154250193692783,0.19540914109077787,-0.4973025388684075,0.6793605419768822,8.559942828908715,0.0014270093766067153,0.3462509530433443,0.4161363609828841,0.4186085560756883,0.33477398075283066,0.24984723339083814,-0.0025438260514185104,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
ridge,20,equal_top10,10,equal,,False,72,0.053840752556345794,-0.04425700545678224,0.09772542006151956,0.09772542006151956,0.09809775801312803,0.27713204762847177,-0.22329129507212597,-0.321389053085254,-0.007890298221031378,0.052713062302232626,0.09742976145393091,-0.3320684350861921,0.6461727096991017,8.14177614220868,0.0013572975008544384,0.4488117563162118,0.7057237371925585,0.8025392510666779,0.33487479673701576,0.06906743825485953,0.005503005053858322,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
ridge,20,equal_top20,20,equal,,False,72,0.11493549789143276,0.019518236611695716,0.08946024546621548,0.08946024546621548,0.09541726127973704,0.27713204762847177,-0.162196549737039,-0.25761381101677605,0.003388512841115965,0.10266566103151162,0.18740497664977748,-0.2893500849331978,0.5915225225188421,7.45318378373741,0.0012425034092529927,0.4163513607897325,0.600689052944957,0.6705520543936377,0.3369734478439756,0.09255924858968353,0.0015068934879290733,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
ridge,20,equal_top30,30,equal,,False,72,0.21597780053992954,0.12053572768467435,0.08152627302631188,0.08152627302631188,0.09544207285525519,0.27713204762847177,-0.061154247088542224,-0.1565963199437974,0.020115858250703278,0.19960569205286122,0.3488435819531766,-0.2560118903186529,0.5390622781617415,6.7921847048379425,0.001132309347587665,0.3990571706518115,0.5435854077182338,0.6436045304242616,0.33536638013129155,0.10982033799199002,0.002165669262647269,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
