model,horizon,portfolio_policy,top_k,weighting,buffer_exit_rank,sector_balanced,periods,gross_total_return,transaction_cost_sum,net_total_return,research_proxy_return,gross_research_proxy_alpha,net_research_proxy_alpha,net_cagr,sharpe,sortino,max_drawdown,average_one_way_turnover,annualized_turnover,average_transaction_cost,average_maximum_sector_weight,average_size_rank,average_liquidity_rank,mean_top_minus_bottom_spread
v6,20,sector_balanced_top20,20,equal,,True,73,0.1265264801592687,0.10174499999999999,0.017504743948813184,0.34450952756340936,-0.21798304740414065,-0.3270047836145962,0.0029997174159064333,0.11629991809302352,0.22221809570001927,-0.49716341905476835,0.6636986301369864,8.362602739726029,0.001393767123287671,0.3513698630136986,0.3351028943912033,0.24972898805186736,-0.004259653536516285
ridge,20,equal_top10,10,equal,,False,73,0.08524776558127889,0.09722999999999998,-0.01520837234455008,0.34450952756340936,-0.25926176198213047,-0.35971789990795944,-0.002641677107404705,0.07934617020023503,0.14701661636309898,-0.33201932351501207,0.6342465753424658,7.991506849315068,0.001331917808219178,0.4547945205479452,0.3356022497123524,0.07109266308323889,0.004889743412237051
ridge,20,equal_top20,20,equal,,False,73,0.15301929148442173,0.0882,0.055987074042134655,0.34450952756340936,-0.19149023607898763,-0.2885224535212747,0.009447041542116397,0.13751962154454025,0.2498336119660047,-0.2891357933940023,0.5753424657534247,7.249315068493152,0.0012082191780821917,0.4246575342465753,0.33782053892054154,0.09394870315651385,4.29159728843318e-05
ridge,20,equal_top30,30,equal,,False,73,0.2571456397451606,0.08028999999999999,0.16046638683415493,0.34450952756340936,-0.08736388781824878,-0.18404314072925443,0.026019837967519166,0.234343366945204,0.4073399392279286,-0.25568279775668135,0.5237442922374429,6.599178082191781,0.0010998630136986299,0.4036529680365296,0.3360113977188719,0.11069013774480056,0.0005843534594174802
ridge,20,rank_weight_top20,20,rank,,False,73,0.04157854906147551,0.09410999999999999,-0.05193333756559759,0.34450952756340936,-0.30293097850193385,-0.39644286512900695,-0.009162747369980906,0.038395919384159836,0.06952537122062707,-0.318008121100795,0.613894324853229,7.735068493150686,0.0012891780821917807,0.4349641226353555,0.33782053892054154,0.09394870315651385,4.29159728843318e-05
ridge,20,rank_decay_top20,20,rank_decay,,False,73,0.019842522958280595,0.09824210048487893,-0.07562050516002261,0.34450952756340936,-0.32466700460512876,-0.42013003272343197,-0.013480512220783725,0.018260634529975815,0.03197117212159961,-0.32511642342416414,0.6408486659157139,8.074693190537994,0.001345782198422999,0.44596102050189884,0.33782053892054154,0.09394870315651385,4.29159728843318e-05
ridge,20,buffer_top20_exit30,20,equal,30.0,False,73,0.0035107843536690275,0.06804,-0.06241031730625779,0.34450952756340936,-0.34099874320974033,-0.40691984486966715,-0.011061382904560046,0.022023714911839812,0.04097714213169826,-0.31508158935245445,0.4438356164383561,5.592328767123287,0.000932054794520548,0.42397260273972603,0.3398005552569641,0.08876564885680172,-0.001802305246940087
ridge,20,sector_balanced_top20,20,equal,,True,73,0.25117575698400163,0.09009,0.14384617674621047,0.34450952756340936,-0.09333377057940773,-0.20066335081719888,0.02346833821558847,0.21604250363307467,0.39700658555134133,-0.3801395496742428,0.5876712328767124,7.404657534246576,0.001234109589041096,0.3513698630136986,0.3339565705602766,0.09652315798276119,0.001220582357133378
lightgbm_regression,20,equal_top10,10,equal,,False,73,0.21458332176723216,0.08189999999999999,0.11952127281055369,0.34450952756340936,-0.1299262057961772,-0.22498825475285567,0.019678161281490913,0.19500786041379561,0.32010566495864795,-0.27882944343122484,0.5342465753424657,6.731506849315068,0.0011219178082191778,0.4780821917808219,0.38465024112537854,0.1733842368736753,0.003514119500554326
lightgbm_regression,20,equal_top20,20,equal,,False,73,0.36749019585487064,0.075075,0.26903633817548855,0.34450952756340936,0.02298066829146128,-0.0754731893879208,0.041981254364005904,0.32397823881516896,0.5604631687411442,-0.18841989848452512,0.4897260273972603,6.170547945205479,0.0010284246575342467,0.4205479452054794,0.3710273786152469,0.17704428775724623,0.004858107813736459
lightgbm_regression,20,equal_top30,30,equal,,False,73,0.5866320356490857,0.06915999999999999,0.48121604205883184,0.34450952756340936,0.24212250808567637,0.13670651449542248,0.07016120847875329,0.4623404738222689,0.9148457133473908,-0.178305505062206,0.45114155251141547,5.684383561643835,0.0009473972602739724,0.3748858447488584,0.36087715337873666,0.17414991329684054,0.004793407341926629
lightgbm_regression,20,rank_weight_top20,20,rank,,False,73,0.35752602941099143,0.08044,0.253147385164157,0.34450952756340936,0.013016501847582074,-0.09136214239925233,0.039717706165936395,0.30600724816604535,0.5158690520126974,-0.2201992275407687,0.5247227658186562,6.6115068493150675,0.001101917808219178,0.4491846053489889,0.3710273786152469,0.17704428775724623,0.004858107813736459
lightgbm_regression,20,rank_decay_top20,20,rank_decay,,False,73,0.2670918341669293,0.08336774266685662,0.16618750468754495,0.34450952756340936,-0.07741769339648008,-0.1783220228758644,0.02689113806343779,0.23329060124861997,0.3981837658938335,-0.24993828412673968,0.5438208914993908,6.852143232892324,0.001142023872148721,0.47089741976662847,0.3710273786152469,0.17704428775724623,0.004858107813736459
lightgbm_regression,20,buffer_top20_exit30,20,equal,30.0,False,73,0.4236810695524835,0.05743499999999999,0.3446699566484672,0.34450952756340936,0.07917154198907417,0.00016042908505786713,0.052445032232505406,0.3742098445137801,0.6694885980443153,-0.17539893042922117,0.3746575342465754,4.72068493150685,0.0007867808219178082,0.4246575342465753,0.3721281296391095,0.18108448354563306,0.005491829652694888
lightgbm_regression,20,sector_balanced_top20,20,equal,,True,73,0.4477738121668706,0.089145,0.32478418691479294,0.34450952756340936,0.10326428460346126,-0.01972534064861642,0.04974202766779112,0.37601484586002626,0.7828705100051223,-0.22509160630023584,0.5815068493150686,7.326986301369864,0.0012211643835616439,0.3513698630136986,0.3557496072007083,0.15590885373377927,0.005544922154356686
