test_year,horizon,factor_name,neutralization,ic_dates,mean_rank_ic,rank_ic_std,rank_ic_ir,positive_ratio
2022,5,profit_growth_rank,size,242,-0.028544289065696855,0.12565070774587533,-0.2271717332736939,0.4380165289256198
2022,5,profit_growth_rank,industry_size,242,-0.013778396802670437,0.0741805964509581,-0.18574125124188695,0.39669421487603307
2022,5,growth,industry,242,-0.015576657924274161,0.09063590408642909,-0.17185968498113602,0.4090909090909091
2022,5,growth,size,242,-0.03365524562734632,0.1524911859989233,-0.22070289116633895,0.44214876033057854
2022,5,growth,industry_size,242,-0.015942431763379533,0.08597548338720153,-0.18542997532890584,0.4090909090909091
2022,5,roe_change_rank,industry,242,-0.01048301180970231,0.07190901562379755,-0.1457816063641548,0.3884297520661157
2022,5,roe_change_rank,size,242,-0.01919476393462817,0.11285814930886855,-0.1700786700134185,0.41735537190082644
2022,5,roe_change_rank,industry_size,242,-0.011707769012194452,0.07034666353641908,-0.16642962755629823,0.39669421487603307
2022,5,roic_change_rank,industry,242,-0.014405991468740843,0.0747183964616851,-0.19280380938217942,0.41735537190082644
2022,5,roic_change_rank,size,242,-0.02412861077304742,0.11902810084616489,-0.20271356596903015,0.4049586776859504
2022,5,roic_change_rank,industry_size,242,-0.013932333814445981,0.07400906907065495,-0.18825171008630126,0.41735537190082644
2022,5,revenue_growth_rank,industry,242,-0.0178594231409279,0.09777383915870892,-0.18266054902414175,0.45041322314049587
2022,5,revenue_growth_rank,size,242,-0.03376812275052023,0.16281188591240525,-0.2074057588687836,0.44214876033057854
2022,5,revenue_growth_rank,industry_size,242,-0.018139338011147456,0.09464194483876581,-0.1916627774508443,0.4380165289256198
2022,5,gross_margin_yoy_rank,industry,242,-0.007286267776695705,0.06953644148210417,-0.10478344334849077,0.44214876033057854
2022,5,gross_margin_yoy_rank,size,242,-0.008582006753847626,0.09050523678364564,-0.09482331695748242,0.4628099173553719
2022,5,gross_margin_yoy_rank,industry_size,242,-0.006204440468966877,0.06850278651449426,-0.09057208888362667,0.45041322314049587
2022,5,volume_trend_60_rank,industry,242,0.004784692372245664,0.07406091698403641,0.06460482218005738,0.5289256198347108
2022,5,volume_trend_60_rank,size,242,-0.015292317813495791,0.11916794236551395,-0.12832576874232612,0.45867768595041325
2022,5,volume_trend_60_rank,industry_size,242,0.00805525534995793,0.0732897519665573,0.10990970952710559,0.5413223140495868
2022,5,operating_cycle_change_rank,industry,242,-0.009472368557433023,0.06956850426417185,-0.1361588646704791,0.4462809917355372
2022,5,operating_cycle_change_rank,size,242,0.0015196207066558776,0.09446045482303725,0.016087374441534755,0.5454545454545454
2022,5,operating_cycle_change_rank,industry_size,242,-0.009746748616116617,0.06947033873184488,-0.14030086500281813,0.45867768595041325
2022,5,quality,industry,242,-0.004016683857369451,0.07682994748204498,-0.05228018486291615,0.47107438016528924
2022,5,quality,size,242,-0.014637990000542635,0.1574502655115076,-0.09296897628586588,0.48760330578512395
2022,5,quality,industry_size,242,-0.005698794439260207,0.06975785375413313,-0.08169394745638309,0.4669421487603306
2022,20,roe_rank,raw,242,-0.025483729915291436,0.13856507548480199,-0.1839116373742136,0.4669421487603306
2022,20,roic_rank,raw,242,-0.021228253619919077,0.14983109702610692,-0.14168122666965602,0.3884297520661157
2022,20,debt_ratio_rank,raw,242,-0.017015776003811618,0.17875363674152464,-0.09519121576483616,0.4628099173553719
2022,20,revenue_growth_rank,raw,242,-0.05304720313076737,0.15735934892408507,-0.33710868463467625,0.384297520661157
2022,20,profit_growth_rank,raw,242,-0.060827750330804606,0.11794860114627827,-0.5157140461154504,0.34710743801652894
2022,20,operating_cash_margin_rank,raw,242,0.02606447391100539,0.08196778148899729,0.31798437675788604,0.6983471074380165
2022,20,gross_margin_rank,raw,242,0.0019286241645438344,0.13482477903209525,0.014304671429016192,0.4793388429752066
2022,20,fundamental_coverage,raw,242,-0.04020499004566383,0.1735336698123743,-0.23168408810309674,0.38016528925619836
2022,20,book_to_price_rank,raw,242,0.05193981404288987,0.15535632572490923,0.33432699827659507,0.6487603305785123
