model,horizon,test_year,broad_sector,dates,mean_rank_ic,rank_ic_std,rank_ic_ir,positive_rank_ic_ratio,mean_pearson_ic
lightgbm_regression,5,2022,cyclical_manufacturing,242,0.021573016553418926,0.19635367056503977,0.10986816030145526,0.5413223140495868,0.02362347547468815
lightgbm_regression,5,2022,finance_real_estate,242,-0.023356898943653014,0.2822163003973449,-0.08276240213895439,0.43388429752066116,0.006096520849833255
lightgbm_regression,5,2022,healthcare,242,0.03893965871119326,0.22132142956636228,0.17594165548039428,0.5702479338842975,0.039092576822046345
lightgbm_regression,5,2022,technology,242,0.0346771186496355,0.18012671311388687,0.19251513587388092,0.5371900826446281,0.04039433040336228
lightgbm_lambdarank,5,2022,consumer,110,0.007774102741257393,0.34395223461553276,0.022602274266213817,0.5,-0.002331291742400616
lightgbm_lambdarank,5,2022,cyclical_manufacturing,242,-0.015943816618761313,0.21421346901534769,-0.07442957108182115,0.49173553719008267,0.000703520043277252
lightgbm_lambdarank,5,2022,finance_real_estate,242,-0.02360349196196767,0.33018267946351076,-0.07148616032894041,0.45867768595041325,-0.011663943010260844
lightgbm_lambdarank,5,2022,healthcare,242,0.004690095968509134,0.23400198588324617,0.020042975066242506,0.48760330578512395,0.005305713510914003
lightgbm_lambdarank,5,2022,technology,242,-0.02076529418374148,0.17891879521371418,-0.11605988157330167,0.4380165289256198,-0.022485482562388956
v6,20,2022,consumer,95,0.13782400665695857,0.3203493958256621,0.4302302687405848,0.6631578947368421,0.16235175284062875
v6,20,2022,cyclical_manufacturing,242,-0.04740269077426931,0.25115237417490544,-0.18874076317215113,0.45041322314049587,-0.021377536624670675
v6,20,2022,finance_real_estate,242,-0.06263711202143436,0.3185447680155525,-0.19663519326230527,0.41735537190082644,-0.07013253104630471
v6,20,2022,healthcare,242,0.020225307661619524,0.2767104621582411,0.07309195143497457,0.5661157024793388,0.03663671102656286
v6,20,2022,technology,242,-0.052054760473362195,0.20752354622832106,-0.25083785150862176,0.4462809917355372,-0.03408155768213653
ridge,20,2022,consumer,95,0.14340128978572916,0.3108830979616939,0.4612707822520434,0.6947368421052632,0.15737039960850763
ridge,20,2022,cyclical_manufacturing,242,0.026498073503247507,0.18321019640116712,0.14463208939106134,0.5826446280991735,0.02757706755269593
ridge,20,2022,finance_real_estate,242,0.06452380567004938,0.28261083650982033,0.22831327512739333,0.5537190082644629,0.06573321860494538
ridge,20,2022,healthcare,242,0.009647453293348278,0.22749471185467696,0.04240737384485248,0.49586776859504134,0.01055734663918675
ridge,20,2022,technology,242,0.03677249892218344,0.17224056575452545,0.21349499614737116,0.6074380165289256,0.044113523442354474
lightgbm_regression,20,2022,consumer,95,0.13263276768997595,0.3517480617813199,0.3770675153639741,0.6421052631578947,0.16832513301736088
lightgbm_regression,20,2022,cyclical_manufacturing,242,0.019990105987311838,0.15843408567599668,0.12617301322514848,0.5537190082644629,0.02394890471756351
lightgbm_regression,20,2022,finance_real_estate,242,0.0029477219591296892,0.26960189927165135,0.010933609767190695,0.5165289256198347,0.009281163164363525
lightgbm_regression,20,2022,healthcare,242,0.011570072606243752,0.23326428675804048,0.04960070299250358,0.5909090909090909,0.00883134553278876
lightgbm_regression,20,2022,technology,242,0.0004984760034994957,0.13227943055743238,0.0037683561336701553,0.5371900826446281,0.007296725276917527
lightgbm_lambdarank,20,2022,consumer,95,0.08537757437070939,0.314628589164661,0.2713598741849457,0.6105263157894737,0.04736147841254511
lightgbm_lambdarank,20,2022,cyclical_manufacturing,242,-0.023450188836874334,0.20481343898664509,-0.11449536198844554,0.4834710743801653,-0.009228172469676433
lightgbm_lambdarank,20,2022,finance_real_estate,242,-0.05706160379912356,0.29942450550461813,-0.19057092105056003,0.4256198347107438,-0.06144365672823845
