experiment_id,score,policy,top_k,cost_bps,gross_total_return,net_total_return,net_research_proxy_alpha,average_one_way_turnover
A_GEN2_BASELINE,gen2_baseline,gen2_baseline_buffer20_30,20,20,0.42055584066279494,0.26962817139506967,-0.007503876233402096,0.39183765252522207
A_GEN2_BASELINE,gen2_baseline,gen2_baseline_buffer20_30,20,30,0.42055584066279494,0.20019567758070234,-0.07693637004776943,0.39183765252522207
A_GEN2_BASELINE,gen2_baseline,gen2_baseline_buffer20_30,20,50,0.42055584066279494,0.07234768120238555,-0.20478436642608622,0.39183765252522207
B2_STRONG_REG,lgbm_strong_reg,lgbm_strong_reg_sector_top10,10,0,0.38759871982791516,0.38759871982791516,0.1104666721994434,0.6180475967833738
B2_STRONG_REG,lgbm_strong_reg,lgbm_strong_reg_sector_top10,10,10,0.38759871982791516,0.26953648741497105,-0.007595560213500718,0.6180475967833738
B2_STRONG_REG,lgbm_strong_reg,lgbm_strong_reg_sector_top10,10,20,0.38759871982791516,0.16138012526396772,-0.11575192236450405,0.6180475967833738
B2_STRONG_REG,lgbm_strong_reg,lgbm_strong_reg_sector_top10,10,30,0.38759871982791516,0.06231018885141837,-0.2148218587770534,0.6180475967833738
B2_STRONG_REG,lgbm_strong_reg,lgbm_strong_reg_sector_top10,10,50,0.38759871982791516,-0.11151945943173769,-0.38865150706020946,0.6180475967833738
B2_STRONG_REG,lgbm_strong_reg,lgbm_strong_reg_sector_top30,30,0,0.4240674448539865,0.4240674448539865,0.14693539722551474,0.4942670996693127
B2_STRONG_REG,lgbm_strong_reg,lgbm_strong_reg_sector_top30,30,10,0.4240674448539865,0.32654426099622413,0.04941221336775237,0.4942670996693127
B2_STRONG_REG,lgbm_strong_reg,lgbm_strong_reg_sector_top30,30,20,0.4240674448539865,0.23560552274241853,-0.04152652488605324,0.4942670996693127
B2_STRONG_REG,lgbm_strong_reg,lgbm_strong_reg_sector_top30,30,30,0.4240674448539865,0.15081302420080078,-0.12631902342767098,0.4942670996693127
B2_STRONG_REG,lgbm_strong_reg,lgbm_strong_reg_sector_top30,30,50,0.4240674448539865,-0.0019442315548989786,-0.27907627918337075,0.4942670996693127
B2_STRONG_REG,lgbm_strong_reg,lgbm_strong_reg_sector_top40,40,0,0.48142233309785976,0.48142233309785976,0.204290285469388,0.46458252487390567
B2_STRONG_REG,lgbm_strong_reg,lgbm_strong_reg_sector_top40,40,10,0.48142233309785976,0.3860134403216997,0.10888139269322794,0.46458252487390567
B2_STRONG_REG,lgbm_strong_reg,lgbm_strong_reg_sector_top40,40,20,0.48142233309785976,0.2966624436621841,0.019530396033712316,0.46458252487390567
B2_STRONG_REG,lgbm_strong_reg,lgbm_strong_reg_sector_top40,40,30,0.48142233309785976,0.21299020996857232,-0.06414183765989945,0.46458252487390567
B2_STRONG_REG,lgbm_strong_reg,lgbm_strong_reg_sector_top40,40,50,0.48142233309785976,0.06128099556934319,-0.21585105205912858,0.46458252487390567
B2_STRONG_REG,lgbm_strong_reg,lgbm_strong_reg_sector_top50,50,0,0.35883074014873073,0.35883074014873073,0.08169869252025896,0.42846101354126037
B2_STRONG_REG,lgbm_strong_reg,lgbm_strong_reg_sector_top50,50,10,0.35883074014873073,0.27779213244732315,0.0006600848188513808,0.42846101354126037
B2_STRONG_REG,lgbm_strong_reg,lgbm_strong_reg_sector_top50,50,20,0.35883074014873073,0.20151797380631598,-0.07561407382215579,0.42846101354126037
B2_STRONG_REG,lgbm_strong_reg,lgbm_strong_reg_sector_top50,50,30,0.35883074014873073,0.12973218006833864,-0.14739986756013312,0.42846101354126037
B2_STRONG_REG,lgbm_strong_reg,lgbm_strong_reg_sector_top50,50,50,0.35883074014873073,-0.0014007119709392724,-0.27853275959941104,0.42846101354126037
B2_STRONG_REG,lgbm_strong_reg,lgbm_strong_reg_buffer20_30,20,0,0.559422606394834,0.559422606394834,0.2822905587663622,0.3403235839245944
B2_STRONG_REG,lgbm_strong_reg,lgbm_strong_reg_buffer20_30,20,10,0.559422606394834,0.48518247839195117,0.2080504307634794,0.3403235839245944
B2_STRONG_REG,lgbm_strong_reg,lgbm_strong_reg_buffer20_30,20,20,0.559422606394834,0.4144183578078009,0.13728631017932913,0.3403235839245944
B2_STRONG_REG,lgbm_strong_reg,lgbm_strong_reg_buffer20_30,20,30,0.559422606394834,0.3469702127345302,0.06983816510605845,0.3403235839245944
B2_STRONG_REG,lgbm_strong_reg,lgbm_strong_reg_buffer20_30,20,50,0.559422606394834,0.2214176152439722,-0.05571443238449958,0.3403235839245944
C2_STABLE_CORE_REG,lgbm_stable_core,lgbm_stable_core_sector_top10,10,0,0.3581891396563137,0.3581891396563137,0.08105709202784195,0.710776069383307
C2_STABLE_CORE_REG,lgbm_stable_core,lgbm_stable_core_sector_top10,10,10,0.3581891396563137,0.22636843644566995,-0.050763611182801816,0.710776069383307
C2_STABLE_CORE_REG,lgbm_stable_core,lgbm_stable_core_sector_top10,10,20,0.3581891396563137,0.1071734517327434,-0.16995859589572837,0.710776069383307
C2_STABLE_CORE_REG,lgbm_stable_core,lgbm_stable_core_sector_top10,10,30,0.3581891396563137,-0.0005889522299983296,-0.2777209998584701,0.710776069383307
C2_STABLE_CORE_REG,lgbm_stable_core,lgbm_stable_core_sector_top10,10,50,0.3581891396563137,-0.18604267573112587,-0.46317472335959764,0.710776069383307
C2_STABLE_CORE_REG,lgbm_stable_core,lgbm_stable_core_sector_top30,30,0,0.5931210041745927,0.5931210041745927,0.3159889565461209,0.5473351678148659
C2_STABLE_CORE_REG,lgbm_stable_core,lgbm_stable_core_sector_top30,30,10,0.5931210041745927,0.47304347974328986,0.1959114321148181,0.5473351678148659
C2_STABLE_CORE_REG,lgbm_stable_core,lgbm_stable_core_sector_top30,30,20,0.5931210041745927,0.36189458874045743,0.08476254111198567,0.5473351678148659
C2_STABLE_CORE_REG,lgbm_stable_core,lgbm_stable_core_sector_top30,30,30,0.5931210041745927,0.2590194965089063,-0.018112551119565445,0.5473351678148659
C2_STABLE_CORE_REG,lgbm_stable_core,lgbm_stable_core_sector_top30,30,50,0.5931210041745927,0.07570479303535582,-0.20142725459311595,0.5473351678148659
C2_STABLE_CORE_REG,lgbm_stable_core,lgbm_stable_core_sector_top40,40,0,0.5537043999610163,0.5537043999610163,0.2765723523325445,0.49774776582937896
C2_STABLE_CORE_REG,lgbm_stable_core,lgbm_stable_core_sector_top40,40,10,0.5537043999610163,0.44668831433385825,0.16955626670538648,0.49774776582937896
