experiment_id,score,dimension,bucket,rows,dates,rank_ic_mean,rank_ic_median,rank_ic_std,icir,positive_ic_ratio,pearson_ic_mean,rank_ic_t_stat
C2_STABLE_CORE_REG,lgbm_stable_core,volatility,low,119106,1434,0.04547568580526295,0.052902843732335364,0.17577424776463652,0.2587164296453446,0.606694560669456,0.020477198435203646,9.79712354973311
C2_STABLE_CORE_REG,lgbm_stable_core,volatility,mid,118636,1434,0.025181171606864998,0.025948314545637695,0.1613767025408705,0.15603969600560885,0.5655509065550907,0.013785369184590161,5.908941239353775
C2_STABLE_CORE_REG,lgbm_stable_core,volatility,high,119577,1434,0.04823232370083514,0.04832672559515348,0.16357728665410717,0.29485954124440844,0.6136680613668062,0.02903296713422235,11.165797855780191
C3_DE_REDUNDANT_REG,lgbm_dedup,market_regime,neutral,200979,804,0.06472062113399296,0.056972180861742244,0.1809443774841054,0.35768241066058093,0.6256218905472637,0.028531897462250343,10.142046753212856
C3_DE_REDUNDANT_REG,lgbm_dedup,market_regime,risk_off,82185,333,0.0157143336761903,0.025531698799393557,0.19852405685738123,0.07915581579858307,0.5705705705705706,0.00010819585446833604,1.4444580911844267
C3_DE_REDUNDANT_REG,lgbm_dedup,market_regime,risk_on,74155,297,0.04412076192104588,0.05256080834736713,0.25080211673405917,0.17591861861289562,0.6397306397306397,0.009111813407173848,3.0317265759426295
C3_DE_REDUNDANT_REG,lgbm_dedup,sector,consumer,24685,197,0.04978269242054396,0.05039525691699605,0.3192895873768898,0.15591705582863374,0.5532994923857868,0.07798187333632495,2.1884001633063024
C3_DE_REDUNDANT_REG,lgbm_dedup,sector,cyclical_manufacturing,125839,1434,0.06551379887286146,0.06308118182492056,0.21026596381606233,0.3115758617508443,0.6227336122733612,0.040984974672351945,11.798814697899543
C3_DE_REDUNDANT_REG,lgbm_dedup,sector,defensive,18436,0,,,,,,,
C3_DE_REDUNDANT_REG,lgbm_dedup,sector,finance_real_estate,63024,1434,0.1033797827393557,0.13369645419143267,0.35463662849947175,0.2915090389190007,0.6276150627615062,0.0843823399729211,11.038920388892274
